Entity,Code_temp,Year,Temperature anomaly,Code_forest,Annual net change in forest area,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
China,CHN,1990,-0.20667507,CHN,1986000.0,China,1990,CHN,1153582718.0,3385121832960.0,84.513,0.073,2484.855,21.2,0.861,3252.399,36.847,1.146,2.819,0.961,0.41,2.154,0.734,0.313,1976.684,1.714,2320.301,2.011,0.685,925.744,43404.617,101603.172,35176.438,30.613,473.096,63134.504,5646.984,1151.741,6880.663,2.345,0.0,0.0,29.301,0.025,2.796,3.649,767.544,0.665,1041.451,0.903,298.189,0.258,330.291,0.286,0.056,64.065,7938.249,17.095,10.933,11.739,22.714,7.537,5.366,6.973,8.029,0.374,0.598,9.67,2.097,61.898,0.0,0.77,15.423,3.573,28.723,7.311,0.03,0.038,0.072,0.003,4209.336,3225.468,-164.554,-6.622
China,CHN,2000,-0.39957717,CHN,2360980.0,China,2000,CHN,1269581164.0,5952682590208.0,244.388,0.192,3649.227,91.952,2.585,4259.395,-80.235,-1.849,3.355,0.716,0.361,2.874,0.613,0.309,2601.762,2.049,3262.413,2.57,0.548,2721.087,75724.031,141866.391,59417.641,62.389,907.342,71078.297,10582.577,2032.992,9334.936,1.982,4.737,0.004,59.796,0.047,3.498,4.181,610.168,0.481,1108.096,0.873,367.944,0.29,648.686,0.511,0.071,89.857,11800.283,33.755,14.305,13.826,28.273,14.74,7.231,8.093,11.3,0.553,0.745,10.008,2.894,50.189,1.365,1.259,11.519,6.316,41.538,8.358,0.037,0.054,0.097,0.005,5307.824,4440.686,-386.813,-10.6
China,CHN,2010,-0.008594722,CHN,1936770.0,China,2010,CHN,1351561511.0,12858808074240.0,639.592,0.473,8620.576,729.498,9.245,8579.337,367.401,4.474,6.348,0.667,0.295,6.378,0.67,0.297,6568.743,4.86,7337.083,5.429,0.571,7142.472,136987.188,206281.219,105457.227,111.311,1992.648,74229.953,19182.248,3101.279,21551.547,2.26,3.974,0.003,199.585,0.148,7.312,7.819,-41.239,-0.031,1524.504,1.128,434.698,0.322,1092.571,0.808,0.086,116.11,29055.609,50.635,25.844,22.087,47.074,25.042,10.191,9.815,16.404,0.758,1.128,9.74,4.038,48.172,1.165,3.205,-0.751,9.649,47.169,9.966,0.046,0.082,0.135,0.007,10567.731,9883.021,-1283.493,-14.889
China,CHN,2015,0.4747642,CHN,1936790.0,China,2015,CHN,1396134164.0,18301224747008.0,718.559,0.515,9863.457,-126.8,-1.269,9828.97,-30.596,-0.31,7.04,0.537,0.28,7.065,0.539,0.281,7266.92,5.205,8860.397,6.346,0.484,10802.984,186108.859,255288.109,142417.0,130.361,3586.638,74115.203,25301.852,3870.017,25210.303,1.92,3.901,0.003,380.052,0.272,8.089,8.547,-34.488,-0.025,1671.582,1.197,457.125,0.327,1328.805,0.952,0.118,165.219,35135.988,49.516,27.859,24.01,49.544,30.274,12.245,11.078,19.857,0.787,1.711,9.393,4.748,49.03,1.016,5.616,-0.623,11.231,54.416,11.172,0.053,0.104,0.165,0.008,11932.706,11292.773,-1003.059,-10.169
Germany,DEU,1990,0.093457885,DEU,5400.0,Germany,1990,DEU,79707964.0,2015547490304.0,15.297,0.192,1054.796,46.004,4.56,1017.924,30.757,3.116,12.771,0.505,0.243,13.233,0.523,0.252,569.117,7.14,1194.983,14.992,0.593,779.13,66794.398,66815.93,53575.48,6.981,2061.979,261.043,10359.892,10.936,52823.883,2.08,3.841,0.048,122.281,1.534,14.872,15.556,-36.872,-0.463,151.419,1.9,68.93,0.865,333.324,4.182,0.137,10.936,4192.642,3.094,4.641,3.674,6.54,6.343,8.258,4.585,12.229,0.085,2.606,0.04,3.847,0.588,1.484,3.213,-0.741,3.606,4.903,3.908,0.007,0.03,0.038,0.002,1239.971,1185.398,140.187,13.29
Germany,DEU,2000,0.5071702,DEU,5500.0,Germany,2000,DEU,81797255.0,2718560681984.0,15.253,0.186,898.976,3.534,0.395,880.787,4.14,0.472,10.768,0.324,0.221,10.99,0.331,0.225,373.461,4.566,1083.82,13.25,0.399,929.404,76232.453,76074.914,57687.309,39.465,3583.054,81.981,13880.986,112.232,48903.699,1.467,2.993,0.037,166.421,2.035,11.956,12.449,-18.189,-0.222,105.166,1.286,44.866,0.548,330.774,4.044,0.123,10.075,3988.179,2.107,3.524,2.859,4.058,5.034,7.28,4.34,10.971,0.35,2.94,0.012,3.795,2.771,0.862,3.504,-0.343,3.22,4.657,3.631,0.006,0.034,0.042,0.002,1018.299,977.961,184.844,20.562
Germany,DEU,2010,-1.3885044,DEU,2000.0,Germany,2010,DEU,80830917.0,3301123031040.0,12.431,0.154,826.68,36.729,4.65,815.229,40.721,5.258,10.086,0.247,0.212,10.227,0.25,0.215,341.311,4.223,1019.208,12.609,0.309,1062.715,84891.281,84596.805,61310.344,68.446,5345.599,-54.964,16902.65,201.527,47305.836,1.165,2.582,0.032,184.875,2.287,10.908,11.453,-11.451,-0.142,80.546,0.996,39.987,0.495,277.154,3.429,0.103,8.327,3847.151,0.984,2.478,2.099,2.446,3.726,6.315,4.025,9.537,0.466,3.026,-0.007,3.558,3.13,0.757,2.968,-0.209,2.448,3.383,3.289,0.005,0.038,0.045,0.002,925.756,881.68,192.528,23.289
Germany,DEU,2015,0.6752085,DEU,0.0,Germany,2015,DEU,82077546.0,3628073746432.0,12.626,0.154,800.844,8.266,1.043,794.87,7.193,0.913,9.684,0.219,0.21,9.757,0.221,0.212,341.117,4.156,895.02,10.905,0.247,1127.43,88935.047,88600.867,63043.102,81.317,6162.197,-94.664,18276.264,244.742,46066.906,1.042,2.374,0.029,157.11,1.914,10.364,10.899,-5.974,-0.073,75.533,0.92,39.768,0.485,278.861,3.398,0.107,8.757,3780.86,0.87,2.262,1.942,2.326,3.16,5.851,3.845,8.79,0.491,2.94,-0.012,3.429,3.101,0.618,2.322,-0.108,2.357,2.884,3.118,0.004,0.04,0.046,0.002,894.566,850.634,94.175,11.759
India,IND,1990,-0.5258794,IND,365300.0,India,1990,IND,864972219.0,1750992945152.0,22.348,0.026,577.996,37.345,6.907,751.03,42.19,5.952,0.868,0.429,0.326,0.668,0.33,0.251,366.514,0.424,575.271,0.665,0.329,320.033,11005.426,47011.84,8012.681,87.232,127.148,38699.527,2458.331,0.0,2643.11,1.314,9.871,0.011,21.097,0.024,0.942,1.767,173.034,0.2,682.595,0.789,147.338,0.17,158.167,0.183,0.0,0.0,2300.701,4.52,2.543,2.711,4.212,2.606,1.361,3.226,1.829,1.066,0.161,5.928,0.913,0.0,3.814,0.554,3.477,1.711,0.0,3.963,0.021,0.014,0.039,0.003,1528.087,814.812,-2.725,-0.471
India,IND,2000,-0.22410996,IND,190500.0,India,2000,IND,1057922728.0,2804478640128.0,45.957,0.043,986.445,25.682,2.673,1178.326,133.986,12.83,1.114,0.42,0.316,0.932,0.352,0.265,572.876,0.542,915.858,0.866,0.327,657.012,18932.674,56217.52,12867.451,117.423,511.787,39977.957,4779.001,0.0,3515.744,1.328,1.973,0.002,52.791,0.05,1.207,1.906,191.882,0.181,751.86,0.711,182.498,0.173,312.847,0.296,0.0,0.0,3725.401,6.348,3.867,3.825,6.225,3.559,1.808,3.207,2.447,1.04,0.42,5.629,1.307,0.0,0.569,1.111,3.622,3.046,0.0,4.154,0.026,0.018,0.048,0.004,2015.877,1276.71,-70.587,-7.156
India,IND,2010,0.4925283,IND,266400.0,India,2010,IND,1243481564.0,5361371185152.0,86.029,0.069,1677.337,65.121,4.039,1794.29,99.493,5.87,1.443,0.335,0.287,1.349,0.313,0.268,1015.983,0.817,1577.53,1.269,0.294,1292.755,31825.479,70039.484,20592.223,135.192,1306.159,40907.117,8499.151,0.0,5038.898,1.166,1.704,0.001,134.121,0.108,1.652,2.31,116.953,0.094,856.15,0.689,236.617,0.19,439.5,0.353,0.0,0.0,6251.326,6.811,5.029,4.619,7.281,4.533,2.368,3.332,3.203,0.921,0.739,5.368,1.789,0.0,0.499,2.154,2.131,3.881,0.0,4.344,0.03,0.024,0.059,0.005,2871.956,2053.94,-99.807,-5.95
India,IND,2015,0.2752069,IND,266400.0,India,2015,IND,1328024492.0,7391521275904.0,117.508,0.088,2234.219,85.876,3.997,2367.592,125.46,5.596,1.783,0.32,0.299,1.682,0.302,0.282,1449.587,1.092,2093.845,1.577,0.283,1825.459,41893.551,80810.508,27006.086,152.365,1895.051,41610.066,11014.592,0.0,5994.315,1.073,4.137,0.003,106.871,0.08,1.971,2.504,133.373,0.1,860.389,0.648,251.789,0.19,556.117,0.419,0.0,0.0,7929.679,8.098,6.31,5.784,9.883,5.116,2.756,3.507,3.765,0.919,0.904,5.273,2.067,0.0,1.077,1.579,2.411,4.7,0.0,4.484,0.032,0.029,0.066,0.006,3325.531,2617.422,-140.375,-6.283
Indonesia,IDN,1990,-0.42383528,IDN,-1726500.0,Indonesia,1990,IDN,183501097.0,718548893696.0,7.719,0.042,155.081,23.407,17.777,630.178,-322.597,-33.859,3.434,0.877,1.05,0.845,0.216,0.258,6.947,0.038,146.571,0.799,0.204,72.558,2904.01,46032.734,199.088,200.099,403.105,52148.953,2029.159,0.0,3294.792,0.835,9.08,0.049,44.064,0.24,1.47,5.849,475.097,2.589,192.637,1.05,38.683,0.211,87.271,0.476,0.0,0.0,600.179,1.561,0.682,2.275,0.08,0.591,0.359,3.159,0.045,2.446,0.509,7.988,0.753,0.0,3.508,1.158,9.547,0.944,0.0,2.899,0.006,0.022,0.028,0.001,1073.236,269.708,-8.51,-5.488
Indonesia,IDN,2000,-0.294511,IDN,-162080.00000000003,Indonesia,2000,IDN,216077791.0,1138300157952.0,16.446,0.076,281.33,-10.671,-3.654,933.129,-350.351,-27.297,4.318,0.82,0.802,1.302,0.247,0.242,50.906,0.236,240.059,1.111,0.211,201.929,5286.044,56908.605,475.348,306.911,1022.822,60642.789,3279.035,0.0,5435.159,1.022,8.57,0.04,48.592,0.225,2.037,6.419,651.799,3.016,240.466,1.113,45.425,0.21,156.816,0.726,0.0,0.0,1163.518,2.272,1.103,3.029,0.553,1.094,0.505,3.247,0.09,2.719,0.839,8.538,0.897,0.0,2.469,1.023,12.305,1.527,0.0,3.182,0.008,0.028,0.037,0.001,1386.973,440.229,-41.272,-14.67
Indonesia,IDN,2015,0.33206907,IDN,-578940.0,Indonesia,2015,IDN,261799249.0,2684764028928.0,24.558,0.094,539.149,51.259,10.506,2042.726,396.354,24.074,7.803,0.761,1.095,2.059,0.201,0.289,197.815,0.756,544.59,2.08,0.203,511.224,11419.284,76214.352,2431.133,395.878,2018.872,73815.297,6062.177,0.0,7202.464,0.695,5.461,0.021,94.253,0.36,3.068,9.548,1503.577,5.743,348.702,1.332,62.732,0.24,217.063,0.829,0.0,0.0,1866.101,1.692,1.523,4.99,1.349,1.433,0.751,3.307,0.339,2.389,0.963,9.355,1.137,0.0,1.422,1.393,27.182,1.835,0.0,3.356,0.012,0.036,0.05,0.001,2499.634,803.156,5.44,1.009
Russia,RUS,2000,-0.66286576,RUS,586710.0,Russia,2000,RUS,146717784.0,1547057496064.0,15.113,0.103,1479.142,-15.036,-1.006,1472.69,-73.834,-4.774,10.038,0.952,0.204,10.082,0.956,0.205,427.01,2.91,996.299,6.791,0.644,1193.851,83536.062,185453.656,36906.949,562.878,18870.191,105745.484,25770.314,231.874,49127.297,4.663,23.764,0.162,681.631,4.646,12.262,12.849,-6.453,-0.044,368.456,2.511,67.902,0.463,317.516,2.164,0.096,14.11,7214.09,2.087,5.798,4.78,4.64,6.467,7.977,10.58,7.019,4.987,15.484,14.888,7.046,5.724,6.847,14.351,-0.122,3.091,6.522,8.07,0.02,0.07,0.093,0.003,1885.174,1799.062,-482.844,-32.643
Russia,RUS,2010,-0.56716305,RUS,-41030.0,Russia,2010,RUS,143934468.0,3105249296384.0,22.723,0.158,1632.783,87.749,5.679,2027.792,289.41,16.648,14.088,0.653,0.259,11.344,0.526,0.209,419.276,2.913,1361.998,9.463,0.439,1406.951,99278.711,201742.312,41187.984,953.56,26344.396,106291.477,29009.002,376.815,54552.457,2.516,47.87,0.333,794.593,5.521,14.117,16.966,395.009,2.744,427.443,2.97,71.782,0.499,333.87,2.32,0.1,14.45,7814.235,1.799,4.895,5.22,3.005,4.933,7.385,9.599,6.407,6.496,14.912,13.947,6.106,5.853,14.028,12.759,7.198,2.949,5.87,7.297,0.018,0.077,0.099,0.004,2441.981,2031.854,-270.785,-16.584
Russia,RUS,2015,0.8883582,RUS,76230.0,Russia,2015,RUS,145307611.0,3456429719552.0,23.171,0.159,1638.675,-1.284,-0.078,2038.625,291.735,16.7,14.03,0.59,0.257,11.277,0.474,0.207,417.405,2.873,1322.551,9.102,0.383,1535.318,107584.961,211248.641,43286.484,1178.366,30266.883,107491.547,30860.473,457.439,54818.855,2.294,33.023,0.227,739.506,5.089,14.233,17.101,399.949,2.752,452.621,3.115,76.354,0.525,408.673,2.812,0.116,16.897,7930.555,1.597,4.628,4.98,2.846,4.303,7.078,9.167,6.035,7.111,14.439,13.623,5.791,5.795,8.6,10.929,7.23,3.454,5.565,7.015,0.018,0.082,0.104,0.004,2484.872,2068.22,-316.124,-19.291
United States,USA,1990,-0.124635935,USA,108600.0,United States,1990,USA,253373385.0,9250377039872.0,33.484,0.132,5120.957,-11.587,-0.226,5407.962,5.871,0.109,21.344,0.585,0.239,20.211,0.554,0.226,1814.537,7.162,5046.305,19.916,0.546,1585.103,249219.641,374566.156,119477.32,873.047,38166.422,125516.688,88553.703,564.04,91135.344,2.444,46.339,0.183,1023.425,4.039,23.014,24.499,287.005,1.133,826.107,3.26,245.7,0.97,2178.622,8.598,0.097,24.55,22609.195,6.773,22.531,19.519,20.851,12.905,30.81,25.705,27.271,10.673,48.239,19.226,32.879,30.313,17.906,26.889,5.767,23.568,11.007,20.842,0.037,0.16,0.204,0.007,6207.367,5831.106,-74.652,-1.458
United States,USA,2000,-0.15495859,USA,518400.0,United States,2000,USA,281484127.0,12947416940544.0,41.445,0.147,6010.136,206.218,3.553,6150.625,195.217,3.278,21.851,0.475,0.232,21.352,0.464,0.226,2163.591,7.686,6252.543,22.213,0.483,1956.071,304367.656,431198.75,139101.281,1294.044,49783.559,127001.289,111399.523,833.206,94002.734,2.05,38.915,0.138,1251.388,4.446,23.735,25.112,140.489,0.499,776.539,2.759,261.53,0.929,2487.84,8.838,0.096,26.957,26546.236,5.724,23.559,19.965,23.511,10.596,29.064,24.599,26.454,11.465,40.849,17.881,30.46,20.57,11.212,26.346,2.652,24.222,12.461,19.958,0.037,0.185,0.23,0.008,7068.609,6680.937,242.408,4.033
United States,USA,2010,-0.08041688,USA,275000.0,United States,2010,USA,311062786.0,15239587299328.0,31.449,0.101,5679.715,198.99,3.631,5665.739,254.898,4.711,18.214,0.372,0.218,18.259,0.373,0.219,1982.954,6.375,5961.901,19.166,0.391,2371.116,363735.094,490520.906,160120.469,1695.793,62008.441,126956.008,136425.797,1113.462,83402.883,1.703,43.407,0.14,1290.495,4.149,20.179,21.1,-13.976,-0.045,713.843,2.295,258.171,0.83,2300.574,7.396,0.099,30.836,25953.547,2.49,17.028,14.586,14.211,8.313,27.059,23.339,24.907,11.552,35.1,16.659,28.717,17.296,12.72,20.721,-0.255,20.317,12.527,18.929,0.036,0.211,0.257,0.01,6563.317,6276.882,282.186,4.968
